name,market_value,goals,assists,contribution
Emmanuel Cascione,11.51293546492023,4,1,5
Gianluca Grava,11.51293546492023,0,0,0
Philipp Pentke,12.611541086966115,0,0,0
Selcuk Sahin,12.611541086966115,0,0,0
Álvaro Rubio,11.51293546492023,0,2,2
Dragan Paljic,12.611541086966115,0,2,2
Engin Baytar,10.819798284210286,3,0,3
Michael Jakobsen,11.736077016252437,1,3,4
Florent Chaigneau,13.122365377402328,0,0,0
Tiago Mendes,13.815511557963774,6,5,11
Kerim Zengin,12.429220196836383,3,3,6
Yakubu Aiyegbeni,11.918397239722838,0,0,0
Andreas Lambertz,10.12667110305036,1,5,6
Milan Obradovic,12.206077645517674,0,0,0
Ekrem Eksioglu,12.611541086966115,2,3,5
Sezer Öztürk,13.815511557963774,5,4,9
Sedat Agcay,11.225256725762893,1,2,3
Orkun Usak,11.918397239722838,0,0,0
Sedat Bayrak,12.206077645517674,3,0,3
Manu Lanzarote,11.918397239722838,2,4,6
Javi Martos,10.12667110305036,0,1,1
Josef Cinar,10.819798284210286,0,0,0
Carlos Peña,12.07254696717504,1,5,6
Benjamin Fuchs,10.12667110305036,0,0,0
Gustavo Munúa,11.51293546492023,0,1,1
Sammy Clingan,12.765691290604371,5,4,9
Matthew Taylor,12.429220196836383,1,5,6
